filepath,user,rating,date,susceptibility,motion,flow
P15_T2/T1.nii,mollyi,2,07-06-2023_14:58:57,,,
sub-HRV5021_ses-pre_acq-H5_T1w.nii.gz,mollyi,5,13-07-2023_15:20:47,,,
sub-HRV5021_ses-post_acq-H4_T1w.nii.gz,mollyi,5,13-07-2023_15:20:47,,,
